name,serving_size,calories,saturated_fat,protein,carbohydrate,fat,fiber,sugars,saturated_fatty_acids,monounsaturated_fatty_acids,Category,Type
"Beans, rinsed in tap water, drained solids, canned, mature seeds, pinto",100 g,117,,7.04 g,20.77 g,0.97 g,0,0,0,0,Carbs,Legumes (Vegan)
"Balsam-pear (bitter gourd), without salt, drained, boiled, cooked, pods",100 g,19,,0.84 g,4.32 g,0.18 g,2.0 g,1.95 g,0.014 g,0.033 g,Vegetables,Vegetables (Vegan)
"Pork, raw, separable lean only, country-style, center slice, ham, cured",100 g,195,2.8g,27.80 g,0.30 g,8.32 g,0.0 g,0.00 g,2.780 g,3.821 g,Protein,Red Meat
"Soup, prepared with equal volume water, canned, tomato beef with noodle",100 g,56,0.6g,1.78 g,8.44 g,1.71 g,0.6 g,0.73 g,0.635 g,0.690 g,Mixed,Red Meat
"Beef, braised, cooked, separable lean only, flat, imported, New Zealand",100 g,226,3.1g,33.22 g,0.00 g,10.30 g,0.0 g,0.00 g,3.117 g,3.761 g,Protein,Red Meat
"Squash, with salt, or baked, drained, boiled, cooked, spaghetti, winter",100 g,27,0.1g,0.66 g,6.46 g,0.26 g,1.4 g,2.53 g,0.062 g,0.022 g,Vegetables,Vegetables (Vegan)
"Succotash, with salt, drained, boiled, cooked, frozen, (corn and limas)",100 g,93,0.2g,4.31 g,19.95 g,0.89 g,4.1 g,2.21 g,0.166 g,0.173 g,Carbs,Other
"Soup, prepared with equal volume water, canned, manhattan, clam chowder",100 g,30,0.1g,0.85 g,4.77 g,0.86 g,0.6 g,1.32 g,0.149 g,0.149 g,Vegetables,Other
"Cherries, solids and liquids, extra heavy syrup pack, canned, red, sour",100 g,114,,0.71 g,29.23 g,0.09 g,0.8 g,0,0.021 g,0.025 g,Carbs,Other
"Beef, raw, select, trimmed to 0"" fat, separable lean only, steak, flank",100 g,137,2.1g,21.43 g,0.00 g,5.00 g,0.0 g,0.00 g,2.074 g,1.967 g,Protein,Red Meat
"Chicken, roasted, cooked, meat and skin, light meat, broilers or fryers",100 g,222,3.1g,29.02 g,0.00 g,10.85 g,0.0 g,0,3.050 g,4.260 g,Protein,Poultry
"Mung beans, with salt, drained, boiled, cooked, sprouted, mature seeds",100 g,19,,2.03 g,3.60 g,0.09 g,0.8 g,2.84 g,0.025 g,0.012 g,Vegetables,Legumes (Vegan)
"Soup, single brand, condensed, canned, beef with vegetables and barley",100 g,61,0.5g,3.90 g,8.20 g,1.40 g,0,0,0.480 g,0.567 g,Mixed,Red Meat
"Beans, with salt, boiled, cooked, mature seeds, california red, kidney",100 g,124,,9.13 g,22.41 g,0.09 g,9.3 g,0,0.014 g,0.007 g,Carbs,Legumes (Vegan)
"Fish, dry heat (may have been previously frozen), cooked, Pacific, cod",100 g,85,0.1g,18.73 g,0.00 g,0.50 g,0.0 g,0.00 g,0.105 g,0.089 g,Protein,Fish
"Chicken, roasted, cooked, meat and skin and giblets and neck, roasting",100 g,220,3.7g,23.96 g,0.05 g,13.07 g,0.0 g,0,3.660 g,5.220 g,Protein,Poultry
"Beef, raw, separable lean and fat, oyster blade, imported, New Zealand",100 g,178,3.8g,21.27 g,0.00 g,10.31 g,0.0 g,0.00 g,3.815 g,3.583 g,Protein,Red Meat
"Beef, raw, liver, variety meats and by-products, imported, New Zealand",100 g,133,1.2g,20.50 g,3.60 g,4.05 g,0.0 g,0.00 g,1.185 g,0.464 g,Protein,Red Meat
"Soup, prepared with equal volume water, consomme, bouillon, beef broth",100 g,12,,2.22 g,0.73 g,0.00 g,0.0 g,0,0.000 g,0.000 g,Vegetables,Red Meat
"Lamb, raw, separable lean only, boneless, chump, imported, New Zealand",100 g,121,1.3g,21.68 g,0.00 g,3.83 g,0.0 g,0.00 g,1.265 g,1.005 g,Protein,Other
"Rolls, commercially prepared (includes brown-and-serve), plain, dinner",100 g,310,1.4g,10.86 g,52.04 g,6.47 g,2.0 g,5.55 g,1.375 g,1.881 g,Carbs,Other
"Chicken, raw, with added solution, meat and skin, drumstick, dark meat",100 g,146,2.3g,18.03 g,0.00 g,8.24 g,0.0 g,0.00 g,2.334 g,3.561 g,Protein,Poultry
"Turkey, raw, with added solution, meat and skin, from whole bird, back",100 g,206,2.7g,16.86 g,0.15 g,15.41 g,0.0 g,0.10 g,2.730 g,7.110 g,Protein,Poultry
"Turkey, roasted, with added solution, meat only, from whole bird, back",100 g,127,0.6g,26.97 g,0.00 g,2.08 g,0.0 g,0.00 g,0.593 g,0.626 g,Protein,Poultry
"DIGIORNO Pizza, baked, frozen, cheese stuffed crust, pepperoni topping",100 g,279,5g,13.92 g,29.46 g,11.71 g,2.1 g,0,5.007 g,3.289 g,Carbs,Dairy (Vegetarian)
"Tomato products, and celery, green peppers, with onions, sauce, canned",100 g,41,0.1g,0.94 g,8.77 g,0.74 g,1.4 g,7.36 g,0.133 g,0.102 g,Mixed,Other
"Chicken, roasted, cooked, meat and skin, drumstick, broilers or fryers",100 g,191,2.7g,23.35 g,0.00 g,10.15 g,0.0 g,0.00 g,2.740 g,4.155 g,Protein,Poultry
