name,serving_size,calories,saturated_fat,protein,carbohydrate,fat,fiber,sugars,saturated_fatty_acids,monounsaturated_fatty_acids,Category,Type
"Ostrich, cooked, top loin",100 g,155,1.3g,28.12 g,0.00 g,3.87 g,0.0 g,0.00 g,1.320 g,1.270 g,Protein,Other
"Fish, raw, northern, pike",100 g,88,0.1g,19.26 g,0.00 g,0.69 g,0.0 g,0.00 g,0.118 g,0.157 g,Protein,Fish
"Jerusalem-artichokes, raw",100 g,73,,2.00 g,17.44 g,0.01 g,1.6 g,9.60 g,0.000 g,0.004 g,Fruits,Fruits (Vegan)
"Side dishes, potato salad",100 g,114,1g,1.53 g,13.53 g,6.03 g,0,0,1.030 g,1.690 g,Mixed,Other
"Persimmons, raw, japanese",100 g,70,,0.58 g,18.59 g,0.19 g,3.6 g,12.53 g,0.020 g,0.037 g,Fruits,Fruits (Vegan)
"SILK Light Plain, soymilk",100 g,29,,2.47 g,3.29 g,0.82 g,0.4 g,2.47 g,0.000 g,0,Vegetables,Dairy (Vegetarian)
"Seeds, dried, lotus seeds",100 g,332,0.3g,15.41 g,64.47 g,1.97 g,0,0,0.330 g,0.388 g,Protein,Other
SILK Raspberry soy yogurt,100 g,88,,2.35 g,17.65 g,1.18 g,0.6 g,12.94 g,0.000 g,0,Carbs,Dairy (Vegetarian)
SILK Blueberry soy yogurt,100 g,88,,2.35 g,17.06 g,1.18 g,0.6 g,12.35 g,0.000 g,0,Carbs,Dairy (Vegetarian)
"Pretzels, unsalted, soft",100 g,345,0.7g,8.20 g,71.04 g,3.10 g,1.7 g,0.25 g,0.695 g,1.071 g,Carbs,Other
"Bread, toasted, oat bran",100 g,259,0.8g,11.40 g,43.70 g,4.80 g,4.9 g,8.46 g,0.766 g,1.748 g,Carbs,Grains (Vegan)
"Pheasant, meat only, raw",100 g,133,1.2g,23.57 g,0.00 g,3.64 g,0.0 g,0,1.240 g,1.170 g,Protein,Other
"Fish, raw, Atlantic, cod",100 g,82,0.1g,17.81 g,0.00 g,0.67 g,0.0 g,0.00 g,0.131 g,0.094 g,Protein,Fish
"Ham, not canned, chopped",100 g,180,3.4g,16.50 g,4.20 g,10.30 g,0.0 g,0.00 g,3.422 g,4.897 g,Protein,Other
"Beef stew, canned entree",100 g,99,2.2g,4.41 g,7.85 g,5.53 g,0.9 g,1.76 g,2.185 g,2.543 g,Mixed,Red Meat
"Honey roll sausage, beef",100 g,182,4.1g,18.58 g,2.18 g,10.50 g,0.0 g,0,4.080 g,4.820 g,Protein,Red Meat
"Kale, unprepared, frozen",100 g,28,0.1g,2.66 g,4.90 g,0.46 g,2.0 g,0,0.059 g,0.034 g,Vegetables,Vegetables (Vegan)
"Mushrooms, raw, shiitake",100 g,34,,2.24 g,6.79 g,0.49 g,2.5 g,2.38 g,0,0,Vegetables,Vegetables (Vegan)
"Milk, non-soy, imitation",100 g,46,0.3g,1.60 g,5.30 g,2.00 g,0.0 g,5.30 g,0.254 g,0.484 g,Mixed,Dairy (Vegetarian)
"Fungi, dried, Cloud ears",100 g,284,,9.25 g,73.01 g,0.73 g,70.1 g,0,0,0,Carbs,Other
"Crackers, water biscuits",100 g,384,,7.14 g,72.81 g,7.14 g,7.1 g,0.00 g,0.000 g,4.043 g,Carbs,Other
"New Zealand spinach, raw",100 g,14,,1.50 g,2.50 g,0.20 g,1.5 g,0.29 g,0.032 g,0.005 g,Vegetables,Vegetables (Vegan)
"Lettuce, raw, green leaf",100 g,15,,1.36 g,2.87 g,0.15 g,1.3 g,0.78 g,0.020 g,0.006 g,Vegetables,Vegetables (Vegan)
"Fish, raw, white, sucker",100 g,92,0.5g,16.76 g,0.00 g,2.32 g,0.0 g,0,0.452 g,0.706 g,Protein,Fish
"Ostrich, raw, inside leg",100 g,111,0.6g,22.39 g,0.00 g,1.72 g,0.0 g,0.00 g,0.600 g,0.600 g,Protein,Other
"Seeds, dried, chia seeds",100 g,486,3.3g,16.54 g,42.12 g,30.74 g,34.4 g,0,3.330 g,2.309 g,Protein,Other
"SILK Plus Fiber, soymilk",100 g,41,0.2g,2.47 g,5.76 g,1.44 g,2.1 g,2.88 g,0.206 g,0,Mixed,Dairy (Vegetarian)
"Pork, pickled pork hocks",100 g,171,3.2g,19.11 g,0.00 g,10.54 g,0.0 g,0.00 g,3.231 g,5.134 g,Protein,Red Meat
"Bread, whole-wheat, pita",100 g,262,0.1g,9.80 g,55.89 g,1.71 g,6.1 g,2.87 g,0.147 g,0.247 g,Carbs,Grains (Vegan)
"Chili with beans, canned",100 g,103,1.1g,6.12 g,13.24 g,3.76 g,3.3 g,1.65 g,1.133 g,1.601 g,Mixed,Legumes (Vegan)
"Beans, raw, yellow, snap",100 g,31,,1.82 g,7.13 g,0.12 g,3.4 g,3.27 g,0.026 g,0.005 g,Vegetables,Legumes (Vegan)
"Ostrich, raw, tenderloin",100 g,123,1.2g,22.07 g,0.00 g,3.19 g,0.0 g,0.00 g,1.170 g,1.230 g,Protein,Other
"Crackers, regular, wheat",100 g,455,3.2g,7.30 g,70.73 g,16.40 g,6.9 g,15.48 g,3.210 g,3.470 g,Carbs,Other
"Guanabana nectar, canned",100 g,59,,0.11 g,14.93 g,0.17 g,0.1 g,13.07 g,0.029 g,0.051 g,Fruits,Fruits (Vegan)
"Peas, raw, edible-podded",100 g,42,,2.80 g,7.55 g,0.20 g,2.6 g,4.00 g,0.039 g,0.021 g,Vegetables,Vegetables (Vegan)
"Fish, raw, striped, bass",100 g,97,0.5g,17.73 g,0.00 g,2.33 g,0.0 g,0,0.507 g,0.660 g,Protein,Fish
"Game meat, raw, squirrel",100 g,120,0.4g,21.23 g,0.00 g,3.21 g,0.0 g,0,0.380 g,1.180 g,Protein,Other
"Jellyfish, salted, dried",100 g,36,0.3g,5.50 g,0.00 g,1.40 g,0.0 g,0.00 g,0.273 g,0.202 g,Mixed,Fish
"Amaranth grain, uncooked",100 g,371,1.5g,13.56 g,65.25 g,7.02 g,6.7 g,1.69 g,1.459 g,1.685 g,Carbs,Other
"Cornmeal, white (Navajo)",100 g,398,0.9g,10.99 g,77.14 g,5.04 g,10.4 g,1.46 g,0.853 g,1.532 g,Carbs,Other
"Beans, raw, in pod, fava",100 g,88,0.1g,7.92 g,17.63 g,0.73 g,7.5 g,9.21 g,0.118 g,0.104 g,Carbs,Legumes (Vegan)
"Nuts, dried, ginkgo nuts",100 g,348,0.4g,10.35 g,72.45 g,2.00 g,0,0,0.381 g,0.739 g,Carbs,Nuts and Seeds (Vegan)
"Pickle relish, hamburger",100 g,129,0.1g,0.63 g,34.48 g,0.54 g,3.2 g,0,0.052 g,0.269 g,Carbs,Other
"Fish, raw, walleye, pike",100 g,93,0.2g,19.14 g,0.00 g,1.22 g,0.0 g,0,0.249 g,0.294 g,Protein,Fish
"Jew's ear, raw, (pepeao)",100 g,25,,0.48 g,6.75 g,0.04 g,0,0,0,0,Vegetables,Other
"Turkey bacon, unprepared",100 g,226,4.5g,15.94 g,1.89 g,16.93 g,0,0,4.520 g,6.223 g,Protein,Poultry
"Turkey and gravy, frozen",100 g,67,0.9g,5.88 g,4.61 g,2.63 g,0.0 g,0,0.850 g,0.970 g,Mixed,Poultry
"Cucumber, raw, with peel",100 g,15,,0.65 g,3.63 g,0.11 g,0.5 g,1.67 g,0.037 g,0.005 g,Vegetables,Other
"Cowpeas, raw, leafy tips",100 g,29,0.1g,4.10 g,4.82 g,0.25 g,0,0,0.066 g,0.022 g,Vegetables,Other
"Yogurt, non-fat, vanilla",100 g,78,,2.94 g,17.04 g,0.00 g,0.0 g,5.88 g,0.000 g,0.000 g,Fruits,Dairy (Vegetarian)
"Game meat, raw, antelope",100 g,114,0.7g,22.38 g,0.00 g,2.03 g,0.0 g,0,0.740 g,0.480 g,Protein,Other
"Cherries, raw, red, sour",100 g,50,0.1g,1.00 g,12.18 g,0.30 g,1.6 g,8.49 g,0.068 g,0.082 g,Fruits,Fruits (Vegan)
"Gravy, powder, dry, pork",100 g,367,4.3g,8.78 g,63.57 g,8.63 g,2.4 g,24.73 g,4.290 g,3.881 g,Carbs,Red Meat
"Cabbage, salted, mustard",100 g,28,,1.10 g,5.63 g,0.10 g,3.1 g,1.40 g,0.013 g,0.007 g,Vegetables,Vegetables (Vegan)
"Okra, unprepared, frozen",100 g,30,0.1g,1.69 g,6.63 g,0.25 g,2.2 g,2.97 g,0.065 g,0.041 g,Vegetables,Vegetables (Vegan)
SILK Key Lime soy yogurt,100 g,88,,2.35 g,17.65 g,1.18 g,0.6 g,12.35 g,0.000 g,0,Carbs,Dairy (Vegetarian)
"Beans, raw, green, snap",100 g,31,0.1g,1.83 g,6.97 g,0.22 g,2.7 g,3.26 g,0.050 g,0.010 g,Vegetables,Legumes (Vegan)
"Spaghetti, dry, spinach",100 g,372,0.2g,13.35 g,74.81 g,1.57 g,10.6 g,2.72 g,0.226 g,0.181 g,Carbs,Other
"Cheese, fat free, cream",100 g,105,0.6g,15.69 g,7.66 g,1.00 g,0.0 g,5.48 g,0.644 g,0.250 g,Protein,Dairy (Vegetarian)
"Water, generic, bottled",100 g,0,,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,0.000 g,0.000 g,Vegetables,Other
"Milk, fluid, low sodium",100 g,61,2.2g,3.10 g,4.46 g,3.46 g,0.0 g,4.46 g,2.154 g,0.999 g,Mixed,Dairy (Vegetarian)
"Cauliflower, raw, green",100 g,31,,2.95 g,6.09 g,0.30 g,3.2 g,3.03 g,0.047 g,0.028 g,Vegetables,Vegetables (Vegan)
"Breakfast tart, low fat",100 g,372,1.4g,3.99 g,76.80 g,5.99 g,1.5 g,4.87 g,1.393 g,3.338 g,Carbs,Other
"Fish, raw, chum, salmon",100 g,120,0.8g,20.14 g,0.00 g,3.77 g,0.0 g,0,0.840 g,1.541 g,Protein,Fish
"Fish, smoked, sablefish",100 g,257,4.2g,17.65 g,0.00 g,20.14 g,0.0 g,0,4.213 g,10.605 g,Protein,Fish
"Malabar spinach, cooked",100 g,23,,2.98 g,2.71 g,0.78 g,2.1 g,0,0,0,Vegetables,Vegetables (Vegan)
"Peppers, raw, hungarian",100 g,29,,0.80 g,6.70 g,0.41 g,1.0 g,3.53 g,0.046 g,0.024 g,Vegetables,Other
"Peppers, dried, pasilla",100 g,345,,12.35 g,51.13 g,15.85 g,26.8 g,0,0,0,Carbs,Other
"Pumpkin pie mix, canned",100 g,104,0.1g,1.09 g,26.39 g,0.13 g,8.3 g,0,0.065 g,0.016 g,Carbs,Other
"Seaweed, raw, irishmoss",100 g,49,,1.51 g,12.29 g,0.16 g,1.3 g,0.61 g,0.033 g,0.015 g,Mixed,Other
"Game meat, raw, muskrat",100 g,162,,20.76 g,0.00 g,8.10 g,0.0 g,0,0,0,Protein,Other
"Pickles, sour, cucumber",100 g,11,0.1g,0.33 g,2.26 g,0.20 g,1.2 g,1.06 g,0.052 g,0.003 g,Vegetables,Vegetables (Vegan)
"Bread, enriched, raisin",100 g,274,1.1g,7.90 g,52.30 g,4.40 g,4.3 g,5.68 g,1.081 g,2.294 g,Carbs,Grains (Vegan)
"Bread, toasted, oatmeal",100 g,292,0.8g,9.20 g,52.70 g,4.80 g,4.3 g,8.84 g,0.764 g,1.715 g,Carbs,Grains (Vegan)
"Fish, raw, pink, salmon",100 g,127,0.8g,20.50 g,0.00 g,4.40 g,0.0 g,0.00 g,0.810 g,1.348 g,Protein,Fish
Octopus (Alaska Native),100 g,56,0.2g,12.30 g,0.00 g,0.80 g,0,0,0.200 g,0,Protein,Other
"Ostrich, cooked, oyster",100 g,159,1.7g,28.81 g,0.00 g,3.97 g,0.0 g,0.00 g,1.690 g,1.450 g,Protein,Other
"Bagels, cinnamon-raisin",100 g,274,0.3g,9.80 g,55.20 g,1.70 g,2.3 g,5.98 g,0.274 g,0.175 g,Carbs,Other
"Tamarind nectar, canned",100 g,57,,0.09 g,14.73 g,0.12 g,0.5 g,12.70 g,0,0,Fruits,Fruits (Vegan)
"Pears, green anjou, raw",100 g,66,,0.44 g,15.79 g,0.10 g,3.1 g,9.73 g,0,0,Fruits,Fruits (Vegan)
"Seaweed, raw, spirulina",100 g,26,0.1g,5.92 g,2.42 g,0.39 g,0.4 g,0.30 g,0.135 g,0.034 g,Mixed,Other
"Soy meal, raw, defatted",100 g,337,0.3g,49.20 g,35.89 g,2.39 g,0,0,0.268 g,0.409 g,Protein,Other
"Candies, plain, halavah",100 g,469,4.1g,12.49 g,60.49 g,21.52 g,4.5 g,0,4.127 g,8.194 g,Carbs,Other
"Barley, cooked, pearled",100 g,123,0.1g,2.26 g,28.22 g,0.44 g,3.8 g,0.28 g,0.093 g,0.057 g,Carbs,Other
"Cornmeal, blue (Navajo)",100 g,398,0.9g,10.40 g,76.93 g,5.44 g,8.7 g,1.81 g,0.886 g,1.679 g,Carbs,Other
"Guavas, raw, strawberry",100 g,69,0.2g,0.58 g,17.36 g,0.60 g,5.4 g,0,0.172 g,0.055 g,Carbs,Other
"Radishes, raw, oriental",100 g,18,,0.60 g,4.10 g,0.10 g,1.6 g,2.50 g,0.030 g,0.017 g,Vegetables,Vegetables (Vegan)
"Mushrooms, raw, maitake",100 g,31,,1.94 g,6.97 g,0.19 g,2.7 g,2.07 g,0.030 g,0.030 g,Vegetables,Vegetables (Vegan)
"Taro, with salt, cooked",100 g,142,,0.52 g,34.60 g,0.11 g,5.1 g,0.49 g,0.023 g,0.009 g,Carbs,Other
"Melons, raw, cantaloupe",100 g,34,0.1g,0.84 g,8.16 g,0.19 g,0.9 g,7.86 g,0.051 g,0.003 g,Mixed,Other
"Pasta, dry, whole-wheat",100 g,352,0.4g,13.87 g,73.37 g,2.93 g,9.2 g,2.74 g,0.428 g,0.361 g,Carbs,Other
"Persimmons, raw, native",100 g,127,,0.80 g,33.50 g,0.40 g,0,0,0,0,Carbs,Other
"KASHI, Blueberry Waffle",100 g,192,0.7g,5.70 g,34.60 g,7.10 g,9.0 g,4.60 g,0.700 g,3.400 g,Carbs,Other
"Game meat, raw, caribou",100 g,127,1.3g,22.63 g,0.00 g,3.36 g,0.0 g,0,1.290 g,1.010 g,Protein,Other
"Oranges, with peel, raw",100 g,63,,1.30 g,15.50 g,0.30 g,4.5 g,0,0.035 g,0.055 g,Carbs,Other
"Seeds, raw, lotus seeds",100 g,89,0.1g,4.13 g,17.28 g,0.53 g,0,0,0.088 g,0.104 g,Carbs,Other
"Rolls, oat bran, dinner",100 g,236,0.6g,9.50 g,40.20 g,4.60 g,4.1 g,6.67 g,0.619 g,1.488 g,Carbs,Other
"Gravy, canned, mushroom",100 g,50,0.4g,1.26 g,5.47 g,2.71 g,0.4 g,0,0.400 g,1.170 g,Mixed,Other
"Onions, sauteed, yellow",100 g,132,1.5g,0.95 g,7.86 g,10.80 g,1.7 g,0,1.477 g,2.185 g,Fats,Other
"English muffins, wheat",100 g,223,0.3g,8.70 g,44.80 g,2.00 g,4.6 g,1.56 g,0.287 g,0.280 g,Carbs,Other
"Apples, with skin, raw",100 g,52,,0.26 g,13.81 g,0.17 g,2.4 g,10.39 g,0.028 g,0.007 g,Fruits,Fruits (Vegan)
"Hearts of palm, canned",100 g,28,0.1g,2.52 g,4.62 g,0.62 g,2.4 g,0,0.130 g,0.103 g,Vegetables,Vegetables (Vegan)
"Fish, raw, ocean, pout",100 g,79,0.3g,16.64 g,0.00 g,0.91 g,0.0 g,0,0.320 g,0.329 g,Protein,Fish
"Bread, sprouted, wheat",100 g,188,,13.16 g,33.88 g,0.00 g,5.3 g,2.63 g,0.000 g,0.000 g,Carbs,Grains (Vegan)
"Egg, fresh, raw, white",100 g,52,,10.90 g,0.73 g,0.17 g,0.0 g,0.71 g,0.000 g,0.000 g,Protein,Eggs (Vegetarian)
"Egg, fresh, raw, whole",100 g,143,3.1g,12.56 g,0.72 g,9.51 g,0.0 g,0.37 g,3.126 g,3.658 g,Protein,Eggs (Vegetarian)
"Mushrooms, raw, oyster",100 g,33,0.1g,3.31 g,6.09 g,0.41 g,2.3 g,1.11 g,0.062 g,0.031 g,Vegetables,Vegetables (Vegan)
"Egg substitute, powder",100 g,444,3.8g,55.50 g,21.80 g,13.00 g,0.0 g,21.80 g,3.766 g,5.341 g,Protein,Eggs (Vegetarian)
"Cereals, dry, WHEATENA",100 g,357,0.4g,13.10 g,75.60 g,2.90 g,12.8 g,1.60 g,0.430 g,0.410 g,Carbs,Other
"Hominy, yellow, canned",100 g,72,0.1g,1.48 g,14.26 g,0.88 g,2.5 g,0,0.123 g,0.231 g,Mixed,Other
"Cheese, low fat, swiss",100 g,179,3.3g,28.40 g,3.40 g,5.10 g,0.0 g,1.33 g,3.304 g,1.351 g,Protein,Dairy (Vegetarian)
"Lettuce, raw, red leaf",100 g,16,,1.33 g,2.26 g,0.22 g,0.9 g,0.48 g,0.017 g,0.005 g,Vegetables,Other
"Game meat, raw, beaver",100 g,146,,24.05 g,0.00 g,4.80 g,0.0 g,0,0,0,Protein,Other
"Butterbur, raw, (fuki)",100 g,14,,0.39 g,3.61 g,0.04 g,0,0,0,0,Vegetables,Other
"Pickle relish, hot dog",100 g,91,,1.50 g,23.35 g,0.46 g,1.5 g,0,0.044 g,0.227 g,Carbs,Other
"Avocados, Florida, raw",100 g,120,2g,2.23 g,7.82 g,10.06 g,5.6 g,2.42 g,1.960 g,5.513 g,Fats,Other
"Crackers, plain, matzo",100 g,395,0.2g,10.00 g,83.70 g,1.40 g,3.0 g,0.29 g,0.226 g,0.127 g,Carbs,Other
"KASHI, Original Waffle",100 g,197,0.7g,6.00 g,35.40 g,7.40 g,9.3 g,4.20 g,0.700 g,3.500 g,Carbs,Other
"Amaranth grain, cooked",100 g,102,,3.80 g,18.69 g,1.58 g,2.1 g,0,0,0,Carbs,Other
"Falafel, home-prepared",100 g,333,2.4g,13.31 g,31.84 g,17.80 g,0,0,2.383 g,10.171 g,Carbs,Other
"Melon, banana (Navajo)",100 g,21,,0.84 g,4.06 g,0.20 g,0.3 g,3.36 g,0,0,Vegetables,Other
"Wheat, hard red spring",100 g,329,0.3g,15.40 g,68.03 g,1.92 g,12.2 g,0.41 g,0.314 g,0.303 g,Protein,Other
"Wheat, soft red winter",100 g,331,0.3g,10.35 g,74.24 g,1.56 g,12.5 g,0.41 g,0.289 g,0.178 g,Carbs,Other
"Wheat, hard red winter",100 g,327,0.3g,12.61 g,71.18 g,1.54 g,12.2 g,0.41 g,0.269 g,0.200 g,Carbs,Other
"Soup, vegetable broth, SWANSON",100 g,6,,0.23 g,1.02 g,0.07 g,0.0 g,0.57 g,0.031 g,0.006 g,Vegetables,Other
"Beans, with beef, canned, baked",100 g,121,1.7g,6.38 g,16.91 g,3.45 g,0,0,1.677 g,1.385 g,Carbs,Red Meat
"Beans, raw, mature seeds, pinto",100 g,347,0.2g,21.42 g,62.55 g,1.23 g,15.5 g,2.11 g,0.235 g,0.229 g,Protein,Legumes (Vegan)
"Yogurt, whole milk, fruit, Greek",100 g,106,1.6g,7.33 g,12.29 g,3.00 g,0.0 g,12.00 g,1.599 g,1.265 g,Mixed,Dairy (Vegetarian)
"Muffins, toaster-type, blueberry",100 g,313,1.4g,4.60 g,53.30 g,9.50 g,1.8 g,4.85 g,1.398 g,2.162 g,Carbs,Other
Soy sauce made from soy (tamari),100 g,60,,10.51 g,5.57 g,0.10 g,0.8 g,1.70 g,0.011 g,0.017 g,Protein,Other
"Hyacinth beans, raw, mature seeds",100 g,344,0.3g,23.90 g,60.74 g,1.69 g,25.6 g,0,0.288 g,0.076 g,Protein,Legumes (Vegan)
"Cloudberries, raw (Alaska Native)",100 g,51,,2.40 g,8.60 g,0.80 g,0,0,0,0,Mixed,Other
"KEEBLER, Wheat Crackers, TOASTEDS",100 g,466,3.2g,8.30 g,66.10 g,20.00 g,4.0 g,9.00 g,3.200 g,5.000 g,Carbs,Other
"Nuts, roasted, european, chestnuts",100 g,245,0.4g,3.17 g,52.96 g,2.20 g,5.1 g,10.60 g,0.414 g,0.759 g,Carbs,Nuts and Seeds (Vegan)
"SPAGHETTIOS, SpaghettiOs  A to Z's",100 g,67,0.2g,2.38 g,13.89 g,0.40 g,1.2 g,4.76 g,0.198 g,0.000 g,Mixed,Other
"Dip, original flavor, bean, FRITO'S",100 g,119,0.5g,5.44 g,15.89 g,3.70 g,4.9 g,0.99 g,0.529 g,0.859 g,Carbs,Legumes (Vegan)
"Cowpeas, raw, young pods with seeds",100 g,44,0.1g,3.30 g,9.50 g,0.30 g,3.3 g,5.04 g,0.079 g,0.027 g,Mixed,Other
"Soy protein isolate, potassium type",100 g,321,0.1g,88.32 g,2.59 g,0.53 g,0.0 g,0.00 g,0.077 g,0.117 g,Protein,Other
"Mollusks, raw, mixed species, squid",100 g,92,0.4g,15.58 g,3.08 g,1.38 g,0.0 g,0.00 g,0.358 g,0.107 g,Protein,Other
"Whale, eyes (Alaska Native), beluga",100 g,291,,19.60 g,0.00 g,23.30 g,0.0 g,0.00 g,0,0,Protein,Other
"Pasta mix, unprepared, classic beef",100 g,354,0.4g,12.32 g,72.20 g,1.78 g,2.0 g,4.95 g,0.439 g,0.501 g,Carbs,Red Meat
"Walrus, dried (Alaska Native), meat",100 g,251,,57.00 g,0.00 g,2.60 g,0,0,0,0,Protein,Other
"Seal, liver (Alaska Native), ringed",100 g,116,1.2g,18.60 g,2.90 g,3.30 g,0,0,1.170 g,1.100 g,Protein,Other
"KASHI, Toasted Asiago Crackers, TLC",100 g,420,2.2g,12.70 g,66.40 g,13.80 g,9.6 g,7.10 g,2.200 g,5.900 g,Carbs,Other
"Crustaceans, raw, alaska king, crab",100 g,84,0.1g,18.29 g,0.00 g,0.60 g,0.0 g,0,0.090 g,0.080 g,Protein,Other
"Fish, raw, mixed species, whitefish",100 g,134,0.9g,19.09 g,0.00 g,5.86 g,0.0 g,0.00 g,0.906 g,1.996 g,Protein,Fish
"Game meat, roasted, cooked, caribou",100 g,167,1.7g,29.77 g,0.00 g,4.42 g,0.0 g,0.00 g,1.700 g,1.330 g,Protein,Other
"Oranges, valencias, California, raw",100 g,49,,1.04 g,11.89 g,0.30 g,2.5 g,0,0.035 g,0.055 g,Vegetables,Vegetables (Vegan)
"Beans, no salt added, canned, baked",100 g,105,0.1g,4.80 g,20.49 g,0.40 g,5.5 g,7.78 g,0.103 g,0.035 g,Carbs,Legumes (Vegan)
"Lasagna, unprepared, frozen, cheese",100 g,145,2.1g,5.06 g,21.61 g,4.22 g,1.7 g,3.80 g,2.110 g,1.077 g,Carbs,Dairy (Vegetarian)
"Onions, unprepared, chopped, frozen",100 g,29,,0.79 g,6.82 g,0.10 g,1.8 g,0,0.017 g,0.014 g,Vegetables,Vegetables (Vegan)
"Cowpeas, raw, mature seeds, catjang",100 g,343,0.5g,23.85 g,59.64 g,2.07 g,10.7 g,0,0.542 g,0.173 g,Protein,Other
"Tea, Hohoysi (Hopi), brewed, herbal",100 g,2,,0.12 g,0.00 g,0.20 g,0,0,0,0,Vegetables,Other
"Fish, raw, mixed species, sea bass",100 g,97,0.5g,18.43 g,0.00 g,2.00 g,0.0 g,0.00 g,0.511 g,0.424 g,Protein,Fish
"Fish, dry heat, cooked, sheepshead",100 g,126,0.4g,26.02 g,0.00 g,1.63 g,0.0 g,0,0.360 g,0.350 g,Protein,Fish
"Fish, raw, mixed species, seatrout",100 g,104,1g,16.74 g,0.00 g,3.61 g,0.0 g,0,1.009 g,0.884 g,Protein,Fish
"PEPPERIDGE FARM, White Hoagie Roll",100 g,296,2.5g,0.01 g,50.70 g,8.70 g,4.5 g,4.80 g,2.500 g,1.900 g,Carbs,Other
"Fish, dry heat, cooked, butterfish",100 g,187,,22.15 g,0.00 g,10.28 g,0.0 g,0,0,0,Protein,Fish
"KEEBLER, Sesame Crackers, TOASTEDS",100 g,496,3.5g,6.60 g,62.60 g,24.30 g,2.8 g,4.10 g,3.500 g,5.200 g,Carbs,Other
"Walrus, raw (Alaska Native), liver",100 g,125,,21.00 g,3.50 g,3.00 g,0,0,0,0,Protein,Other
"Salisbury steak with gravy, frozen",100 g,149,4g,6.98 g,6.78 g,10.47 g,1.0 g,0.26 g,3.982 g,4.798 g,Fats,Other
"Grapefruit, California, white, raw",100 g,37,,0.88 g,9.09 g,0.10 g,0,0,0.014 g,0.013 g,Vegetables,Other
"Potatoes, raw, flesh and skin, red",100 g,70,,1.89 g,15.90 g,0.14 g,1.7 g,1.29 g,0.035 g,0.003 g,Carbs,Other
"KEEBLER, Multigrain Crackers, CLUB",100 g,466,3.3g,7.10 g,65.90 g,20.40 g,3.5 g,12.00 g,3.300 g,5.000 g,Carbs,Other
"Turkey breast, prepackaged, sliced",100 g,100,0.3g,16.33 g,2.34 g,2.37 g,0.0 g,3.28 g,0.318 g,0.813 g,Protein,Poultry
"Acerola, raw, (west indian cherry)",100 g,32,0.1g,0.40 g,7.69 g,0.30 g,1.1 g,0,0.068 g,0.082 g,Vegetables,Vegetables (Vegan)
"CRACKER BARREL, macaroni n' cheese",100 g,194,4.2g,6.49 g,15.61 g,11.75 g,1.1 g,2.83 g,4.178 g,2.813 g,Carbs,Dairy (Vegetarian)
"Pie, prepared from recipe, pumpkin",100 g,204,3.2g,4.50 g,26.40 g,9.30 g,0,0,3.171 g,3.697 g,Carbs,Other
"English muffins, whole grain white",100 g,245,,7.02 g,50.17 g,1.75 g,3.5 g,1.75 g,0.000 g,0.000 g,Carbs,Other
"Stew/soup, caribou (Alaska Native)",100 g,41,,3.80 g,4.80 g,0.70 g,0.1 g,0,0.010 g,0,Vegetables,Other
"Pie, commercially prepared, cherry",100 g,260,2.6g,2.00 g,39.80 g,11.00 g,0.8 g,14.29 g,2.562 g,5.837 g,Carbs,Other
"Emu, broiled, cooked, inside drums",100 g,156,0.7g,32.38 g,0.00 g,2.01 g,0.0 g,0.00 g,0.654 g,0.859 g,Protein,Other
"Mustard greens, unprepared, frozen",100 g,20,,2.49 g,3.41 g,0.27 g,3.3 g,0,0.014 g,0.124 g,Vegetables,Vegetables (Vegan)
"Game meat, roasted, cooked, beaver",100 g,212,2.1g,34.85 g,0.00 g,6.96 g,0.0 g,0.00 g,2.070 g,1.890 g,Protein,Other
"Fish, raw, mixed species, sturgeon",100 g,105,0.9g,16.14 g,0.00 g,4.04 g,0.0 g,0.00 g,0.915 g,1.939 g,Protein,Fish
"Huckleberries, raw (Alaska Native)",100 g,37,,0.40 g,8.70 g,0.10 g,0,0,0,0,Vegetables,Other
"Chicken, raw, all classes, gizzard",100 g,94,0.5g,17.66 g,0.00 g,2.06 g,0.0 g,0.00 g,0.529 g,0.512 g,Protein,Poultry
"SILK Plus for Bone Health, soymilk",100 g,41,0.2g,2.47 g,4.53 g,1.44 g,0.8 g,2.88 g,0.206 g,0,Mixed,Dairy (Vegetarian)
Reddi Wip Fat Free Whipped Topping,100 g,149,2.9g,3.00 g,25.00 g,5.00 g,0.4 g,16.00 g,2.869 g,1.250 g,Carbs,Other
"Boysenberries, heavy syrup, canned",100 g,88,,0.99 g,22.31 g,0.12 g,2.6 g,0,0.004 g,0.012 g,Carbs,Other
"Hush puppies, prepared from recipe",100 g,337,2.1g,7.70 g,46.00 g,13.50 g,2.8 g,2.03 g,2.108 g,3.263 g,Carbs,Other
"Beans, canned, mature seeds, white",100 g,114,0.1g,7.26 g,21.20 g,0.29 g,4.8 g,0.29 g,0.074 g,0.025 g,Carbs,Legumes (Vegan)
"Duck, raw, meat only, domesticated",100 g,135,2.3g,18.28 g,0.94 g,5.95 g,0.0 g,0.00 g,2.320 g,1.540 g,Protein,Other
"Duck, raw, meat only, breast, wild",100 g,123,1.3g,19.85 g,0.00 g,4.25 g,0.0 g,0,1.320 g,1.210 g,Protein,Other
